0.070361,0.140741,0.211158,0.281632,0.352181,0.422825,0.493585,0.564481,0.635531,0.706749,0.778143,0.849720,0.921505,0.993573,1.066064,1.139066,1.212192,1.284048,1.354228,1.440596,1.402234,1.380075,1.356269,1.331238,1.306391,1.282128,1.258377,1.235014,1.211976,1.189256,1.166860,1.144795,1.123062,1.101658,1.080578,1.059815,1.039366,1.019225,0.999390,0.979856,0.960619,0.941675,0.923020,0.904651,0.886563,0.868753,0.851216,0.833948,0.816946,0.800205,0.783723,0.767494,0.751515,0.735782,0.720291,0.705039,0.690021,0.675235,0.660675,0.646339,0.632222,0.618322,0.604633,0.591153,0.577878,0.564804,0.551927,0.539244,0.526752,0.514447,0.502325,0.490382,0.478616,0.467022,0.455597,0.444338,0.433242,0.422304,0.411522,0.400892,0.390410,0.380074,0.369880,0.359825,0.349905,0.340117,0.330457,0.320924,0.311513,0.302221,0.293045,0.283981,0.275027,0.266180,0.257436,0.248792,0.240245,0.231792,0.223430,0.215156,0.206967,0.198859,0.190830,0.182877,0.174996,0.167185,0.159441,0.151760,0.144140,0.136578,0.129071,0.121615,0.114209,0.106848,0.099531,0.092254,0.085014,0.077809,0.070635,0.063490,0.056371,0.049274,0.042198,0.035139,0.028094,0.021060,0.014036,0.007016,
0.061759,0.123536,0.185348,0.247212,0.309146,0.371168,0.433295,0.495544,0.557933,0.620479,0.683200,0.746113,0.809237,0.872590,0.936191,1.000057,1.064201,1.128629,1.193346,1.258377,1.323795,1.389738,1.456293,1.523072,1.588679,1.652706,1.733017,1.688692,1.660663,1.631078,1.600358,1.569910,1.540134,1.510956,1.482249,1.453952,1.426053,1.398558,1.371475,1.344801,1.318533,1.292663,1.267185,1.242093,1.217381,1.193044,1.169077,1.145474,1.122231,1.099343,1.076803,1.054607,1.032750,1.011227,0.990031,0.969159,0.948605,0.928363,0.908430,0.888799,0.869466,0.850426,0.831674,0.813204,0.795012,0.777094,0.759443,0.742056,0.724927,0.708051,0.691424,0.675042,0.658898,0.642989,0.627309,0.611855,0.596621,0.581603,0.566797,0.552197,0.537799,0.523598,0.509590,0.495771,0.482137,0.468681,0.455401,0.442292,0.429349,0.416568,0.403944,0.391475,0.379154,0.366978,0.354942,0.343043,0.331276,0.319637,0.308121,0.296725,0.285444,0.274275,0.263213,0.252253,0.241393,0.230627,0.219952,0.209364,0.198859,0.188432,0.178080,0.167799,0.157584,0.147433,0.137339,0.127301,0.117313,0.107373,0.097475,0.087617,0.077793,0.068001,0.058236,0.048494,0.038772,0.029065,0.019370,0.009683,
0.048969,0.097953,0.146968,0.196027,0.245147,0.294341,0.343626,0.393016,0.442527,0.492173,0.541969,0.591930,0.642073,0.692410,0.742959,0.793733,0.844748,0.896019,0.947562,0.999390,1.051519,1.103965,1.156742,1.209865,1.263350,1.317215,1.371475,1.426145,1.481235,1.536750,1.592692,1.649083,1.705995,1.763564,1.821873,1.880533,1.938146,1.994302,2.066862,2.014903,1.979356,1.942368,1.904355,1.866725,1.829873,1.793724,1.758150,1.723087,1.688520,1.654456,1.620897,1.587840,1.555280,1.523207,1.491613,1.460489,1.429828,1.399622,1.369866,1.340551,1.311670,1.283217,1.255184,1.227564,1.200349,1.173534,1.147110,1.121071,1.095410,1.070119,1.045192,1.020623,0.996403,0.972527,0.948987,0.925777,0.902890,0.880319,0.858058,0.836100,0.814438,0.793065,0.771976,0.751164,0.730622,0.710343,0.690321,0.670551,0.651025,0.631736,0.612680,0.593849,0.575237,0.556838,0.538646,0.520654,0.502856,0.485247,0.467819,0.450568,0.433486,0.416568,0.399807,0.383199,0.366736,0.350412,0.334223,0.318161,0.302221,0.286397,0.270683,0.255073,0.239561,0.224142,0.208809,0.193558,0.178381,0.163273,0.148229,0.133242,0.118307,0.103418,0.088569,0.073755,0.058970,0.044207,0.029462,0.014728,
0.042531,0.085075,0.127647,0.170259,0.212926,0.255661,0.298478,0.341391,0.384412,0.427556,0.470836,0.514267,0.557861,0.601632,0.645595,0.689762,0.734148,0.778766,0.823629,0.868753,0.914150,0.959833,1.005818,1.052118,1.098746,1.145717,1.193044,1.240740,1.288821,1.337298,1.386187,1.435502,1.485259,1.535472,1.586156,1.637318,1.688963,1.741091,1.793724,1.846932,1.900848,1.955557,2.010668,2.064781,2.117484,2.186639,2.131321,2.092461,2.052201,2.010960,1.970143,1.930144,1.890888,1.852244,1.814148,1.776585,1.739559,1.703071,1.667119,1.631695,1.596788,1.562389,1.528489,1.495080,1.462152,1.429698,1.397710,1.366179,1.335098,1.304458,1.274251,1.244469,1.215104,1.186147,1.157591,1.129428,1.101649,1.074248,1.047215,1.020543,0.994225,0.968252,0.942616,0.917311,0.892327,0.867658,0.843297,0.819234,0.795463,0.771976,0.748766,0.725825,0.703146,0.680721,0.658543,0.636604,0.614897,0.593416,0.572151,0.551097,0.530246,0.509590,0.489124,0.468838,0.448726,0.428782,0.408998,0.389366,0.369880,0.350533,0.331317,0.312226,0.293253,0.274390,0.255631,0.236969,0.218396,0.199906,0.181492,0.163146,0.144863,0.126635,0.108455,0.090316,0.072211,0.054134,0.036078,0.018036,
0.028228,0.056466,0.084724,0.113012,0.141340,0.169717,0.198155,0.226663,0.255251,0.283929,0.312707,0.341596,0.370604,0.399743,0.429022,0.458452,0.488042,0.517803,0.547745,0.577878,0.608212,0.638757,0.669524,0.700523,0.731764,0.763257,0.795012,0.827041,0.859353,0.891959,0.924869,0.958093,0.991643,1.025527,1.059758,1.094345,1.129298,1.164630,1.200349,1.236468,1.272996,1.309944,1.347322,1.385143,1.423416,1.462152,1.501362,1.541056,1.581246,1.621943,1.663157,1.704903,1.747191,1.790033,1.833434,1.877395,1.921915,1.967010,2.012750,2.059264,2.106634,2.154467,2.201359,2.246896,2.308937,2.246555,2.200676,2.153442,2.105267,2.057555,2.010696,1.964613,1.919172,1.874306,1.829997,1.786247,1.743054,1.700413,1.658314,1.616743,1.575688,1.535137,1.495080,1.455504,1.416400,1.377755,1.339561,1.301804,1.264476,1.227564,1.191058,1.154947,1.119220,1.083867,1.048876,1.014238,0.979941,0.945974,0.912328,0.878991,0.845953,0.813204,0.780733,0.748529,0.716581,0.684881,0.653416,0.622177,0.591153,0.560334,0.529709,0.499269,0.469002,0.438899,0.408949,0.379142,0.349467,0.319915,0.290476,0.261138,0.231892,0.202727,0.173634,0.144601,0.115620,0.086679,0.057769,0.028880,
0.020601,0.041210,0.061835,0.082482,0.103161,0.123877,0.144641,0.165458,0.186337,0.207285,0.228311,0.249422,0.270626,0.291930,0.313342,0.334871,0.356524,0.378308,0.400232,0.422304,0.444532,0.466922,0.489484,0.512225,0.535153,0.558277,0.581603,0.605141,0.628898,0.652883,0.677103,0.701566,0.726282,0.751257,0.776500,0.802019,0.827824,0.853921,0.880319,0.907027,0.934053,0.961405,0.989092,1.017123,1.045505,1.074248,1.103359,1.132848,1.162723,1.192993,1.223667,1.254753,1.286259,1.318196,1.350571,1.383394,1.416673,1.450418,1.484637,1.519339,1.554532,1.590227,1.626432,1.663157,1.700413,1.738210,1.776557,1.815458,1.854910,1.894913,1.935480,1.976678,2.018637,2.061434,2.104675,2.146956,2.187859,2.245242,2.178176,2.127585,2.075610,2.022662,1.970143,1.918442,1.867479,1.817120,1.767294,1.717982,1.669184,1.620897,1.573112,1.525818,1.479000,1.432643,1.386733,1.341258,1.296204,1.251559,1.207309,1.163441,1.119944,1.076803,1.034006,0.991540,0.949392,0.907549,0.865998,0.824727,0.783723,0.742972,0.702462,0.662181,0.622115,0.582252,0.542579,0.503083,0.463752,0.424572,0.385532,0.346618,0.307819,0.269120,0.230510,0.191976,0.153505,0.115084,0.076702,0.038345,
0.014280,0.028565,0.042862,0.057175,0.071511,0.085874,0.100271,0.114708,0.129189,0.143720,0.158307,0.172956,0.187673,0.202462,0.217329,0.232281,0.247323,0.262460,0.277699,0.293045,0.308503,0.324080,0.339781,0.355612,0.371579,0.387688,0.403944,0.420354,0.436923,0.453657,0.470562,0.487644,0.504909,0.522364,0.540013,0.557863,0.575920,0.594190,0.612680,0.631395,0.650342,0.669526,0.688954,0.708633,0.728568,0.748766,0.769233,0.789976,0.811000,0.832313,0.853921,0.875830,0.898046,0.920577,0.943429,0.966608,0.990121,1.013975,1.038176,1.062732,1.087648,1.112932,1.138590,1.164630,1.191058,1.217881,1.245105,1.272739,1.300789,1.329261,1.358164,1.387503,1.417287,1.447521,1.478213,1.509370,1.541000,1.573112,1.605715,1.638814,1.672413,1.706506,1.741091,1.776180,1.811837,1.848190,1.885315,1.922815,1.959283,1.994302,2.045725,1.972621,1.915914,1.857742,1.798513,1.739628,1.681474,1.623967,1.566973,1.510417,1.454281,1.398558,1.343247,1.288335,1.233809,1.179651,1.125845,1.072375,1.019225,0.966380,0.913825,0.861545,0.809524,0.757747,0.706199,0.654864,0.603728,0.552775,0.501989,0.451356,0.400860,0.350486,0.300218,0.250042,0.199942,0.149903,0.099910,0.049947,
0.012968,0.025941,0.038924,0.051923,0.064942,0.077986,0.091062,0.104173,0.117325,0.130523,0.143773,0.157079,0.170447,0.183881,0.197387,0.210971,0.224636,0.238390,0.252236,0.266180,0.280227,0.294384,0.308653,0.323042,0.337556,0.352199,0.366978,0.381897,0.396962,0.412178,0.427551,0.443086,0.458789,0.474665,0.490720,0.506959,0.523388,0.540013,0.556838,0.573870,0.591114,0.608577,0.626263,0.644178,0.662329,0.680721,0.699360,0.718251,0.737401,0.756815,0.776500,0.796461,0.816704,0.837236,0.858062,0.879189,0.900622,0.922368,0.944433,0.966823,0.989544,1.012603,1.036005,1.059758,1.083867,1.108338,1.133179,1.158395,1.183994,1.209981,1.236362,1.263146,1.290337,1.317943,1.345970,1.374425,1.403314,1.432643,1.462420,1.492651,1.523346,1.554512,1.586156,1.618278,1.650875,1.683942,1.717492,1.751587,1.786356,1.821873,1.857742,1.892555,1.925893,1.975612,1.900777,1.842313,1.782357,1.721317,1.660593,1.600572,1.541169,1.482249,1.423738,1.365615,1.307876,1.250515,1.193523,1.136882,1.080578,1.024591,0.968905,0.913505,0.858374,0.803496,0.748857,0.694439,0.640228,0.586207,0.532361,0.478673,0.425128,0.371710,0.318402,0.265190,0.212057,0.158987,0.105965,0.052975,
0.006648,0.013299,0.019955,0.026619,0.033294,0.039983,0.046688,0.053412,0.060157,0.066927,0.073725,0.080552,0.087412,0.094307,0.101241,0.108215,0.115233,0.122298,0.129412,0.136578,0.143799,0.151077,0.158416,0.165818,0.173286,0.180823,0.188432,0.196116,0.203877,0.211719,0.219644,0.227655,0.235756,0.243948,0.252236,0.260622,0.269108,0.277699,0.286397,0.295204,0.304125,0.313162,0.322318,0.331597,0.341001,0.350533,0.360197,0.369996,0.379932,0.390010,0.400232,0.410602,0.421123,0.431797,0.442629,0.453622,0.464778,0.476102,0.487596,0.499265,0.511110,0.523137,0.535347,0.547745,0.560334,0.573117,0.586099,0.599281,0.612669,0.626266,0.640074,0.654098,0.668341,0.682807,0.697500,0.712422,0.727578,0.742972,0.758606,0.774486,0.790614,0.806994,0.823629,0.840525,0.857684,0.875110,0.892807,0.910778,0.929029,0.947562,0.966380,0.985489,1.004891,1.024591,1.044591,1.064898,1.085516,1.106450,1.127704,1.149276,1.171160,1.193346,1.215846,1.238720,1.262092,1.286033,1.310145,1.333017,1.354228,1.391627,1.304280,1.233107,1.160242,1.086091,1.012049,0.938502,0.865361,0.792487,0.719804,0.647287,0.574929,0.502722,0.430652,0.358699,0.286844,0.215067,0.143346,0.071664,
0.004490,0.008981,0.013476,0.017977,0.022485,0.027002,0.031530,0.036072,0.040628,0.045200,0.049792,0.054403,0.059037,0.063695,0.068379,0.073091,0.077832,0.082605,0.087412,0.092254,0.097133,0.102052,0.107012,0.112015,0.117063,0.122157,0.127301,0.132496,0.137743,0.143045,0.148404,0.153821,0.159300,0.164841,0.170447,0.176119,0.181860,0.187673,0.193558,0.199518,0.205555,0.211671,0.217868,0.224149,0.230515,0.236969,0.243512,0.250147,0.256876,0.263702,0.270626,0.277650,0.284777,0.292009,0.299349,0.306798,0.314358,0.322033,0.329824,0.337733,0.345764,0.353918,0.362197,0.370604,0.379142,0.387812,0.396617,0.405560,0.414643,0.423867,0.433237,0.442754,0.452420,0.462238,0.472211,0.482341,0.492631,0.503083,0.513699,0.524482,0.535435,0.546561,0.557861,0.569338,0.580996,0.592836,0.604861,0.617073,0.629477,0.642073,0.654864,0.667854,0.681045,0.694439,0.708040,0.721850,0.735870,0.750105,0.764557,0.779227,0.794119,0.809237,0.824584,0.840164,0.855980,0.872029,0.888303,0.904792,0.921505,0.938502,0.955905,0.973786,0.991743,1.008365,1.023229,1.054185,0.960295,0.882480,0.802871,0.721873,0.640881,0.560278,0.479976,0.399833,0.319773,0.239770,0.159814,0.079897,
